"Id","DisplayName","MailEnabled","SecurityEnabled","GroupClassification","Visibility","CreatedDateTime","OnPremisesSyncEnabled"
"773b9bb0-a45b-4ef9-861f-3630653e2883","M365 GDAP Teams Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"7b982095-1da8-49fd-8ec0-d7a4b2f2b71e","MyCloudOfficeDEV GOV01","False","True","Security Group",,"01/16/2026 10:26:52","False"
"7c18b1e7-037a-4386-af09-beb0cde4ca21","mycloudofficedev","True","True","Microsoft 365 Group","Public","01/24/2024 20:26:43","False"
"7cc99521-dc25-4437-907a-cdbff435d69e","M365 GDAP Custom Attack Simulation Administrator 19ae3a92","False","True","Security Group","Private","02/27/2026 13:06:22","False"
"81247633-9d05-4937-8a7f-f84fe46782e3","Excluded from Country Block List","False","True","Security Group","Private","06/24/2025 15:35:05","False"
"814ded00-3c27-4de1-818a-a7a10c29a0db","M365 GDAP Application Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"898b2890-c736-4939-b190-8ea6dfb49d7b","M365 GDAP Helpdesk 1063fe67 Demo 09","False","True","Security Group","Private","03/06/2026 10:02:29","False"
"8f80a128-0d89-4fe8-8bd8-cbe774f6631b","M365 GDAP Custom f3ffabf7","False","True","Security Group","Private","03/09/2026 10:45:06","False"
"9156d01c-9f5f-48d8-8a73-e0fab926de2f","ComplianceShield - Demo - Webarchive","True","False","Microsoft 365 Group","Private","06/24/2025 15:14:09","False"
"9232f4a1-a6a9-4ce5-8370-d5274c609832","GRP - Dyn - SRV 2025 AD Member","False","True","Security Group",,"02/25/2026 09:06:24","False"
"96695608-d0a5-474b-9bbe-2cf6b71ff9fa","Device - Demo - EntraID Joined Geräte","False","True","Security Group",,"02/17/2026 09:09:53","False"
"a0e23a46-979b-4136-b9b0-cdc891d72233","M365 GDAP Helpdesk demo03","False","True","Security Group","Private","02/27/2026 12:58:48","False"
"a166ad68-28df-4ffd-b566-36598d05930c","M365 GDAP Custom 19ae3a92 Demo 21","False","True","Security Group","Private","03/05/2026 00:05:17","False"
"a5164a3a-c71d-4243-86af-d33985e5e491","M365 GDAP Custom 19ae3a92 Demo 12","False","True","Security Group","Private","02/27/2026 13:43:35","False"
"a9b5eda2-6d6c-41ec-9bbc-b3e48b7355af","M365 GDAP Custom 19ae3a92 Demo 19","False","True","Security Group","Private","02/27/2026 14:06:16","False"
"af797f02-9562-47bb-ac05-f50802e28e98","M365 GDAP Custom Attribute Assignment Administrator 19ae3a92","False","True","Security Group","Private","02/27/2026 13:06:23","False"
"b0a5b2a3-ae9d-4416-8902-351580a1e2ef","M365 GDAP Custom 90a824f3 Finance","False","True","Security Group","Private","03/09/2026 08:42:03","False"
"b3202590-bb23-4d55-959a-c4f346fcdb5f","Excluded from Device Code Auth Flow Block","False","True","Security Group","Private","06/24/2025 15:34:58","False"
"b54af592-2f94-4f4d-9813-41439ce5f99e","Opal-UserGroup","False","True","Security Group","Private","11/26/2025 20:36:14","False"
"be471c4e-cacc-410e-b948-8ece36f52ab1","M365 GDAP Global Reader","False","True","Security Group",,"05/08/2026 15:09:04","False"
"bf0978c1-1a44-4221-9592-476aeea8ac3d","M365 GDAP SharePoint Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"c0f601a4-8d28-468b-b757-88729f97c709","M365 GDAP Exchange Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"c4e75213-bc23-440c-a5f1-5a9e0442fc84","SG - Windows Autopilot Geräte Vorbereitung","False","True","Security Group",,"02/18/2026 14:42:38","False"
"c4ff75ab-2660-4798-a00f-0cc6c649cb2d","M365 GDAP Custom - demo01","False","True","Security Group","Private","02/27/2026 12:23:32","False"
"ceda208b-0bcb-4334-befc-1011605a7b6e","M365 GDAP Simple Group","False","True","Security Group","Private","02/27/2026 12:50:42","False"
"da46088a-efdb-4206-8b33-c55a2df1bc61","M365 GDAP Billing Administrator f3ffabf7 Finance","False","True","Security Group","Private","03/09/2026 10:24:32","False"
"dcb094b6-45cf-4d69-ab5d-38eedfe8ea9c","All Company","True","False","Microsoft 365 Group","Public","08/03/2020 14:55:07","False"
"e0c606ca-93d0-426f-bdda-990393bbd082","SG - AutoPilot V2 User","False","True","Security Group",,"02/18/2026 18:46:55","False"
"ea61b9c3-61ef-4f8d-b3a5-ccbb0958fdae","M365 GDAP Advanced Administration demo03","False","True","Security Group","Private","02/27/2026 12:58:50","False"
"edae746e-b6c7-4e68-bd4c-6afeb7ed5695","M365 GDAP Custom Attack Payload Author 19ae3a92","False","True","Security Group","Private","02/27/2026 13:06:20","False"
"efd1a02c-d5d8-403b-a019-cbe329d5c5a0","MyCloudOfficeDEV GOV02","False","True","Security Group","Private","01/16/2026 10:27:36","False"
"f5aade13-27ab-421f-8505-0a780e508a1a","M365 GDAP Helpdesk","False","True","Security Group","Private","02/27/2026 12:37:12","False"
"f79bbbd5-20b3-47ef-8560-b6495141180a","M365 GDAP User Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"faa56f11-0c2b-48c9-8e60-2c51804df39a","M365 GDAP Custom 19ae3a92","False","True","Security Group","Private","02/27/2026 13:07:02","False"
"fc1ee348-e7fe-4932-8360-7ea1a78eba1d","M365 GDAP Advanced Administration 19ae3a92 demo 08","False","True","Security Group","Private","02/27/2026 13:19:14","False"
"fd4aa9f6-8c95-4826-9588-185e410f4d75","M365 GDAP Advanced f41a0bce Demo 10","False","True","Security Group","Private","03/06/2026 10:06:41","False"
