"Id","DisplayName","Description","MailEnabled","SecurityEnabled","GroupClassification","Visibility","CreatedDateTime","OnPremisesSyncEnabled","Owners","MemberCount","Members"
"55df8550-9dae-499e-929a-90edae6baf21","M365 GDAP Privileged Role Administrator","This group is used to manage M365 partner tenants at the Privileged Role Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"5f089003-2cd1-435f-9a31-369572d738bc","M365 GDAP Privileged Authentication Administrator","This group is used to manage M365 partner tenants at the Privileged Authentication Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"6591da39-71c9-48d0-a685-d6b587fe9bc6","M365 GDAP Cloud App Security Administrator","This group is used to manage M365 partner tenants at the Cloud App Security Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"66eb76a5-58f3-41e8-a01e-4e9605be7f99","Device - Demo - Registrierte Geräte",,"False","True","Security Group",,"02/17/2026 09:07:18","False","mkn@mycloudofficedev.onmicrosoft.com","0",""
"72da35d5-2d81-4940-b5dc-bcaab12a9d9d","M365 GDAP Custom 19ae3a92 Demo 14","M365 GDAP Combined Group: Extended Directory User Administrator, External ID User Flow Administrator, External ID User Flow Attribute Administrator","False","True","Security Group","Private","02/27/2026 13:47:23","False","","0",""
"7622cdc5-0726-4a60-88dc-f4445bf4f839","M365 GDAP Cloud Device Administrator","This group is used to manage M365 partner tenants at the Cloud Device Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"773b9bb0-a45b-4ef9-861f-3630653e2883","M365 GDAP Teams Administrator","This group is used to manage M365 partner tenants at the Teams Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"7b982095-1da8-49fd-8ec0-d7a4b2f2b71e","MyCloudOfficeDEV GOV01",,"False","True","Security Group",,"01/16/2026 10:26:52","False","","0",""
"7c18b1e7-037a-4386-af09-beb0cde4ca21","mycloudofficedev","mycloudofficedev","True","True","Microsoft 365 Group","Public","01/24/2024 20:26:43","False","mkn@mycloudofficedev.onmicrosoft.com; Demo-Support-CIPP-SA@mycloudofficedev.onmicrosoft.com","25","mkn@mycloudofficedev.onmicrosoft.com; LeeG@mycloudofficedev.onmicrosoft.com; MeganB@mycloudofficedev.onmicrosoft.com; PattiF@mycloudofficedev.onmicrosoft.com; NestorW@mycloudofficedev.onmicrosoft.com; DiegoS@mycloudofficedev.onmicrosoft.com; IsaiahL@mycloudofficedev.onmicrosoft.com; GradyA@mycloudofficedev.onmicrosoft.com; LidiaH@mycloudofficedev.onmicrosoft.com; JoniS@mycloudofficedev.onmicrosoft.com; PradeepG@mycloudofficedev.onmicrosoft.com; AdeleV@mycloudofficedev.onmicrosoft.com; HenriettaM@mycloudofficedev.onmicrosoft.com; AlexW@mycloudofficedev.onmicrosoft.com; LynneR@mycloudofficedev.onmicrosoft.com; JohannaL@mycloudofficedev.onmicrosoft.com; MiriamG@mycloudofficedev.onmicrosoft.com; ADToAADSyncServiceAccount@mycloudofficedev.onmicrosoft.com; _CloudDemoUser01@mycloudofficedev.onmicrosoft.com; _CloudDemoUser02@mycloudofficedev.onmicrosoft.com; demoonpremuser02@mycloudofficedev.onmicrosoft.com; demoonpremuser03@mycloudofficedev.onmicrosoft.com; demoonpremuser04@mycloudofficedev.onmicrosoft.com; demo-support-Tier0@mycloudofficedev.onmicrosoft.com; Demo-Support-CIPP-SA@mycloudofficedev.onmicrosoft.com"
"7cc99521-dc25-4437-907a-cdbff435d69e","M365 GDAP Custom Attack Simulation Administrator 19ae3a92","M365 GDAP Combined Group: Attack Simulation Administrator","False","True","Security Group","Private","02/27/2026 13:06:22","False","","0",""
"81247633-9d05-4937-8a7f-f84fe46782e3","Excluded from Country Block List",,"False","True","Security Group","Private","06/24/2025 15:35:05","False","","0",""
"814ded00-3c27-4de1-818a-a7a10c29a0db","M365 GDAP Application Administrator","This group is used to manage M365 partner tenants at the Application Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"898b2890-c736-4939-b190-8ea6dfb49d7b","M365 GDAP Helpdesk 1063fe67 Demo 09","M365 GDAP Combined Group: Directory Readers, Global Reader, Helpdesk Administrator","False","True","Security Group","Private","03/06/2026 10:02:29","False","","0",""
"8f80a128-0d89-4fe8-8bd8-cbe774f6631b","M365 GDAP Custom f3ffabf7","M365 GDAP Combined Group: Billing Administrator, Global Reader","False","True","Security Group","Private","03/09/2026 10:45:06","False","","0",""
"9156d01c-9f5f-48d8-8a73-e0fab926de2f","ComplianceShield - Demo - Webarchive","ComplianceShield - Demo - Webarchive","True","False","Microsoft 365 Group","Private","06/24/2025 15:14:09","False","mkn@mycloudofficedev.onmicrosoft.com","1","mkn@mycloudofficedev.onmicrosoft.com"
"9232f4a1-a6a9-4ce5-8370-d5274c609832","GRP - Dyn - SRV 2025 AD Member",,"False","True","Security Group",,"02/25/2026 09:06:24","False","mkn@mycloudofficedev.onmicrosoft.com","1","SRV-MB01-W2025"
"96695608-d0a5-474b-9bbe-2cf6b71ff9fa","Device - Demo - EntraID Joined Geräte",,"False","True","Security Group",,"02/17/2026 09:09:53","False","mkn@mycloudofficedev.onmicrosoft.com","0",""
"a0e23a46-979b-4136-b9b0-cdc891d72233","M365 GDAP Helpdesk demo03","M365 GDAP Combined Group: Directory Readers, Global Reader, Helpdesk Administrator, License Administrator, Service Support Administrator, User Administrator","False","True","Security Group","Private","02/27/2026 12:58:48","False","","0",""
"a166ad68-28df-4ffd-b566-36598d05930c","M365 GDAP Custom 19ae3a92 Demo 21","M365 GDAP Combined Group: Billing Administrator, Global Reader","False","True","Security Group","Private","03/05/2026 00:05:17","False","","0",""
"a5164a3a-c71d-4243-86af-d33985e5e491","M365 GDAP Custom 19ae3a92 Demo 12","M365 GDAP Combined Group: Dragon Administrator, Dynamics 365 Administrator, Dynamics 365 Business Central Administrator, Edge Administrator","False","True","Security Group","Private","02/27/2026 13:43:35","False","","0",""
"a9b5eda2-6d6c-41ec-9bbc-b3e48b7355af","M365 GDAP Custom 19ae3a92 Demo 19","M365 GDAP Combined Group: Directory Writers, External ID User Flow Administrator","False","True","Security Group","Private","02/27/2026 14:06:16","False","","0",""
"af797f02-9562-47bb-ac05-f50802e28e98","M365 GDAP Custom Attribute Assignment Administrator 19ae3a92","M365 GDAP Combined Group: Attribute Assignment Administrator","False","True","Security Group","Private","02/27/2026 13:06:23","False","","0",""
"b0a5b2a3-ae9d-4416-8902-351580a1e2ef","M365 GDAP Custom 90a824f3 Finance","M365 GDAP Combined Group: Billing Administrator, Global Reader","False","True","Security Group","Private","03/09/2026 08:42:03","False","","0",""
"b3202590-bb23-4d55-959a-c4f346fcdb5f","Excluded from Device Code Auth Flow Block",,"False","True","Security Group","Private","06/24/2025 15:34:58","False","","0",""
"b54af592-2f94-4f4d-9813-41439ce5f99e","Opal-UserGroup","Opal-UserGroup","False","True","Security Group","Private","11/26/2025 20:36:14","False","mkn@mycloudofficedev.onmicrosoft.com","1","mkn@mycloudofficedev.onmicrosoft.com"
"be471c4e-cacc-410e-b948-8ece36f52ab1","M365 GDAP Global Reader","This group is used to manage M365 partner tenants at the Global Reader level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"bf0978c1-1a44-4221-9592-476aeea8ac3d","M365 GDAP SharePoint Administrator","This group is used to manage M365 partner tenants at the SharePoint Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"c0f601a4-8d28-468b-b757-88729f97c709","M365 GDAP Exchange Administrator","This group is used to manage M365 partner tenants at the Exchange Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"c4e75213-bc23-440c-a5f1-5a9e0442fc84","SG - Windows Autopilot Geräte Vorbereitung",,"False","True","Security Group",,"02/18/2026 14:42:38","False","","1","DESKTOP-6UB0RPT"
"c4ff75ab-2660-4798-a00f-0cc6c649cb2d","M365 GDAP Custom - demo01","M365 GDAP Combined Group: Agent ID Administrator, Agent ID Developer, AI Administrator","False","True","Security Group","Private","02/27/2026 12:23:32","False","","0",""
"ceda208b-0bcb-4334-befc-1011605a7b6e","M365 GDAP Simple Group","GDAP Group for Tenant Governance","False","True","Security Group","Private","02/27/2026 12:50:42","False","","0",""
"da46088a-efdb-4206-8b33-c55a2df1bc61","M365 GDAP Billing Administrator f3ffabf7 Finance","M365 GDAP Combined Group: Billing Administrator","False","True","Security Group","Private","03/09/2026 10:24:32","False","","0",""
"dcb094b6-45cf-4d69-ab5d-38eedfe8ea9c","All Company",,"True","False","Microsoft 365 Group","Public","08/03/2020 14:55:07","False","","0",""
"e0c606ca-93d0-426f-bdda-990393bbd082","SG - AutoPilot V2 User",,"False","True","Security Group",,"02/18/2026 18:46:55","False","mkn@mycloudofficedev.onmicrosoft.com","1","mkn@mycloudofficedev.onmicrosoft.com"
"ea61b9c3-61ef-4f8d-b3a5-ccbb0958fdae","M365 GDAP Advanced Administration demo03","M365 GDAP Combined Group: Cloud Application Administrator, Exchange Administrator, Intune Administrator, Security Administrator, Teams Administrator, SharePoint Administrator, Privileged Role Administrator","False","True","Security Group","Private","02/27/2026 12:58:50","False","","0",""
"edae746e-b6c7-4e68-bd4c-6afeb7ed5695","M365 GDAP Custom Attack Payload Author 19ae3a92","M365 GDAP Combined Group: Attack Payload Author","False","True","Security Group","Private","02/27/2026 13:06:20","False","","0",""
"efd1a02c-d5d8-403b-a019-cbe329d5c5a0","MyCloudOfficeDEV GOV02",,"False","True","Security Group","Private","01/16/2026 10:27:36","False","mkn@mycloudofficedev.onmicrosoft.com","3","mkn@mycloudofficedev.onmicrosoft.com; demo-support-Tier0@mycloudofficedev.onmicrosoft.com; Demo-Support-CIPP-SA@mycloudofficedev.onmicrosoft.com"
"f5aade13-27ab-421f-8505-0a780e508a1a","M365 GDAP Helpdesk","M365 GDAP Combined Group: Directory Readers, Global Reader, Helpdesk Administrator, License Administrator, Service Support Administrator, User Administrator","False","True","Security Group","Private","02/27/2026 12:37:12","False","","0",""
"f79bbbd5-20b3-47ef-8560-b6495141180a","M365 GDAP User Administrator","This group is used to manage M365 partner tenants at the User Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"faa56f11-0c2b-48c9-8e60-2c51804df39a","M365 GDAP Custom 19ae3a92","M365 GDAP Combined Group: Agent ID Administrator, Agent ID Developer, Agent Registry Administrator, AI Administrator","False","True","Security Group","Private","02/27/2026 13:07:02","False","","0",""
"fc1ee348-e7fe-4932-8360-7ea1a78eba1d","M365 GDAP Advanced Administration 19ae3a92 demo 08","M365 GDAP Combined Group: Cloud Application Administrator, Exchange Administrator, Intune Administrator, Security Administrator, Teams Administrator, SharePoint Administrator, Privileged Role Administrator","False","True","Security Group","Private","02/27/2026 13:19:14","False","","0",""
"fd4aa9f6-8c95-4826-9588-185e410f4d75","M365 GDAP Advanced f41a0bce Demo 10","M365 GDAP Combined Group: Exchange Administrator, Intune Administrator, Security Administrator","False","True","Security Group","Private","03/06/2026 10:06:41","False","","0",""
